Site+,Treatment,BA,Nsnags,Ccover,Ldepth,TreeHeight,LCR,Age,Nburns,Nthins,Last_burn,Time_since_burn,Last_thin,Herbicide,y_proj,x_proj,Latitude,Longitude
Battlewood_1B_8,1B,81,1.6,88.352,1.125,76.667,0.45,32,1,1,2016,1,2015,0,3830426.14,420088.8929,34.61258518,-81.87162534
Battlewood_1B_E_B,1B,84,0.2,88.196,1.438,61.933,0.57,20,1,1,2016,1,2015,0,3831032.531,420378.1668,34.61807549,-81.86852739
Blease_3B_6,3B,102,0.4,98.128,0.875,81.333,0.45,32,4,2,2017,0,2005,1,3770378.171,423611.5183,34.07137298,-81.8278677
Blease_3B_9,3B,87,2.6,88.3,0.15,70.133,0.53,37,12,2,2017,0,2005,1,3769988.175,423483.6938,34.06784671,-81.82921861
Bryson_1B_9,1B,92,0,92.72,3.775,73.8,0.47,35,1,3,2010,7,2008,1,3829378.066,409891.2133,34.60228968,-81.98273049
Bryson_2B_9,2B,91,0,93.604,4.263,74.333,0.38,35,2,3,2014,3,2008,1,3829800.673,410667.18,34.60616807,-81.97431338
Bryson_3B_E_B,3B,90,0.2,85.336,0.875,73.333,0.49,35,3,3,2017,0,2008,1,3829273.698,409541.8058,34.60131789,-81.9865295
Burnett_Pauline_1B_5,1B,77,0.4,95.424,1.388,70.95,0.46,29,1,2,2015,2,2015,1,3853231.876,418673.2386,34.81810818,-81.88926347
Creswell_0B_8,0B,100,2,96.62,3.425,66.333,0.57,27,0,0,.,.,.,0,3732746.186,392760.027,33.72933039,-82.15757565
Creswell_2B_10,2B,81,4,91.628,1.35,71.033,0.45,42,2,1,2015,2,2011,1,3732142.733,392495.3129,33.72386196,-82.16035928
Gosnell_0B_5A,0B,110,0.2,98.388,1.763,74.7,0.48,22,0,1,.,.,2008,0,3812646.051,395735.6938,34.45008673,-82.13503696
Gosnell_0B_5B,0B,98,0.4,96.672,3.063,75.333,0.51,22,0,1,.,.,2008,0,3812865.322,394922.6377,34.45198129,-82.1439134
Hood_Creek_0B_7,0B,104,0,99.22,2.113,81.667,0.45,25,0,1,.,.,2012,0,3813075.263,393409.1417,34.45371894,-82.16041309
Hood_Creek_0B_HC,0B,97,0,98.388,3.363,64.667,0.52,25,0,1,.,.,2012,0,3812875.117,393564.7696,34.45193041,-82.15869421
Howard_2B_4,2B,67,0,86.324,3.388,59.383,0.58,25,2,2,2016,1,2016,0,3832846.695,369807.9233,34.62925703,-82.42031151
Hudson_2B_7,2B,73,0.8,87.624,1.738,72.133,0.53,26,2,1,2013,4,2016,1,3829844.449,446399.667,34.60905254,-81.58462294
Hudson_2B_8,2B,83,0.8,82.788,1.963,65.867,0.47,26,2,1,2014,3,2016,1,3829367.809,445720.0777,34.60471868,-81.59200438
Kemp_0B_10,3B,74,0,93.24,2.188,77.2,0.35,32,7,2,2017,0,>5,1,3735155.755,409822.6855,33.75264893,-81.97366839
Kemp_1B_1,1B,78,0,84.556,3.863,59.733,0.44,15,1,1,2016,1,2016,1,3734525.113,412449.2642,33.74718217,-81.94524963
Kemp_2B_2,2B,84,0,82.944,2.713,58,0.51,17,2,2,2014,3,2016,1,3735250.447,411613.3497,33.75365384,-81.95434601
Kemp_2B_5,2B,93,0,91.368,1.25,59.067,0.49,26,2,2,2017,0,>5,1,3735404.714,412490.9441,33.75511791,-81.9448867
Kemp_3B_11,3B,41,0.8,69.684,1.388,77.667,0.46,57,5,6,2014,3,2012,1,3734451.787,411482.1919,33.74644054,-81.95568209
Kessler_3B_4,3B,105,1.2,94.228,0.65,64.267,0.46,31,3,2,2016,1,2005,0,3788195.386,381399.6844,34.228088,-82.28769354
Kessler_3B_5A,3B,91,0.6,89.34,1.088,77.667,0.44,31,3,3,2015,2,2016,0,3787828.3,381086.8188,34.22474253,-82.29103918
Kessler_3B_5B,3B,75,1.6,94.28,1.588,78.467,0.43,31,3,3,2015,2,2016,0,3788109.214,380369.1935,34.22719306,-82.29886754
Livingston_3B_10,3B,73,1.4,96.1,1.525,78.083,0.45,39,4,2,2016,1,2011,1,3780815.75,423453.3256,34.16548541,-81.83050163
Mathis_1B_6,1B,50,0,69.164,1.375,60.333,0.45,30,1,2,2014,3,2017,0,3741664.834,399811.5104,33.81044559,-82.0824836
Mathis_1B_7,1B,74,1.6,84.14,2.875,59.8,0.45,30,1,1,2014,3,2012,0,3742058.874,400711.505,33.81408384,-82.07280552
Mills_0B_9,0B,96,1.2,94.696,1.188,68.375,0.44,30,0,2,.,.,2014,0,3737195.962,433477.4531,33.77279886,-81.71843659
Mills_1B_4,1B,97,1.2,96.516,2.213,80.267,0.45,23,1,2,2007,10,2016,0,3736735.461,430275.1963,33.76843968,-81.7529816
Mills_1B_45,1B,99,1.6,95.944,2.35,78.583,0.41,29,1,2,2007,10,2014,0,3736637.031,434242.5492,33.76780593,-81.71013264
Shealy_0B_2,0B,101,1.6,91.264,1.888,46.433,0.63,18,0,1,.,.,2014,0,3787855.335,414379.7649,34.22825891,-81.92963155
Shealy_0B_4,0B,91,0.4,93.708,1.488,57.033,0.58,21,0,1,.,.,2014,1,3787657.749,413619.9203,34.22641438,-81.9378609
Shealy_1B_3A,1B,124,1,97.036,2.013,57.267,0.54,21,1,1,2016,1,2014,1,3788621.647,413404.7731,34.23508831,-81.94029316
Shealy_1B_3B,1B,92,0.6,90.484,1.413,51.2,0.49,21,1,1,2016,1,2014,1,3788951.143,413056.522,34.23803045,-81.94410735
Shealy_1B_E_S,1B,101,1.8,92.876,1.6,57.267,0.55,21,1,1,2016,1,2014,1,3789124.091,412416.3659,34.23953625,-81.95107539
Shealy_2B_3,2B,92,1,88.924,0.575,49.933,0.63,21,2,1,2016,1,2014,1,3787975.439,413479.1405,34.22926742,-81.93942103
Suggs_0B_E_S,0B,76,4.4,87.26,2.7,61.967,0.36,21,0,1,.,.,2013,1,3794068.515,340960.5506,34.27563577,-82.72768605
Swanson_2B_E_SW,2B,67,0,83.776,2.163,69.467,0.45,28,2,3,2015,2,2016,0,3723192.626,406119.1398,33.64444418,-82.01238482
Swanson_3B_2,3B,69,0,87,1.05,70.688,0.42,28,3,3,2017,0,2016,0,3722819.412,406079.0564,33.64107499,-82.0127776
Timberhaven_2B_1,2B,73,0,89.6,1.067,54.467,0.64,16,2,1,2016,1,2014,1,3759427.528,415116.6718,33.97196847,-81.91885636
Timberhaven_3B_7,3B,42,0,55.592,0.725,67.883,0.5,32,8,3,2016,1,2015,1,3758072.432,415202.0639,33.95975537,-81.91780083
Timberhaven_3B_8,3B,38,0,67.084,0.313,66.8,0.51,34,8,3,2016,1,2016,1,3758997.599,414676.5225,33.9680558,-81.92357847
Turkey_Rd_2B_6A,2B,66,0.2,82.58,1.588,61,0.5,26,2,2,2015,2,2007,1,3742741.779,396069.858,33.81979552,-82.1230303
Turkey_Rd_2B_6B,2B,82,0,84.764,1.888,58.933,0.49,26,2,2,2015,2,2007,1,3742616.209,396662.882,33.81872138,-82.11660868
Turner_Abercrombie_0B_E_AB,0B,97,2.2,93.916,3.113,56.267,0.49,16,0,1,.,.,2015,1,3818197.333,370685.0196,34.49729889,-82.40851684
Turner_Abercrombie_1B_2,1B,114,2,96.724,1.25,57.667,0.52,16,1,1,2016,1,2015,0,3818335.96,371154.1923,34.49860747,-82.40342885
Turner_Honea_Path_0B_1,0B,121,0.6,98.18,3.25,56.533,0.49,16,0,1,.,.,2015,1,3810453.688,373530.6217,34.42783839,-82.37638372
Turner_Honea_Path_0B_6,0B,92,0.2,97.036,2.6,71.4,0.46,24,0,2,.,.,2016,0,3810006.464,375805.8098,34.42408246,-82.35156382
Turner_Honea_Path_3B_1,3B,76,1,93.24,2.8,76.4,0.4,25,3,2,2011,6,2015,1,3809110.14,376110.0804,34.41603793,-82.34812363
Turner_Honea_Path_3B_3,3B,90,0.4,93.396,2.625,75.2,0.41,29,3,2,2011,6,2015,1,3809113.765,376322.0926,34.41609602,-82.34581769
