"ACFL","AMCR","AMGO","AMRE","AMRO","BACS","BAWW","BDOW","BGGN","BHCO","BHNU","BHVI","BLGR","BLJA","BRTH","CACH","CAGO","CAWR","CEWA","CHSP","CHSW","CHUCK","COGR","COYE","DOWO","EABL","EAPH","EATO","EAWP","FICR","FISP","GCFL","GHOW","GRCA","HAWO","HOFI","HOWA","INBU","MODO","NOBO","NOCA","NOFL","NOMO","NOPA","NOWA","OVEN","owl","OWL","PIWA","PIWO","PRWA","RBHU","RBWO","REVI","RHWO","RSHA","RTHU","RWBB","SUTA","TUTI","WBNU","WEVI","WHIP","WITU","WOTH","WTSP","YBCH","YBCU","YEWA","YTWA"
"Abercrombie_0B_E_AB",0,23,1,0,0,0,6,0,4,0,4,0,0,4,0,6,1,11,0,3,0,0,0,0,4,6,0,15,0,0,0,6,0,0,0,0,0,4,7,0,17,0,0,0,0,0,0,0,14,0,0,0,3,0,1,0,0,0,5,24,0,7,0,0,0,0,0,2,0,0
"Abercrombie_1B_2",1,23,4,0,0,0,0,0,1,0,2,0,0,7,0,4,0,14,0,7,1,0,1,0,5,9,2,18,7,0,4,0,0,0,0,0,0,4,10,0,15,0,1,0,0,0,0,0,21,0,0,0,2,0,3,0,0,0,3,24,2,0,0,2,0,0,0,0,0,0
"Battlewood_1B_8",7,10,3,0,0,0,3,0,5,2,5,0,0,2,0,6,0,5,0,0,0,0,0,0,5,2,0,6,12,0,0,0,0,0,0,0,0,3,6,0,10,0,0,0,0,11,0,0,12,1,0,0,3,3,4,3,0,0,3,6,0,0,0,0,0,0,0,0,0,0
"Blease_3B_6",16,20,3,0,0,0,1,0,1,1,4,0,0,3,0,7,0,17,0,4,0,0,0,0,0,1,1,4,6,0,0,0,0,0,0,0,0,21,16,0,19,0,0,0,0,0,0,0,21,0,0,0,8,3,0,1,0,0,16,21,0,1,0,1,0,0,8,0,2,3
"Blease_3B_9",0,18,3,0,0,0,2,0,3,4,4,0,0,9,0,6,0,12,0,15,0,0,0,0,1,8,0,17,20,0,1,0,0,0,0,0,0,21,13,2,13,0,0,0,0,0,0,0,16,3,1,0,12,0,0,0,0,0,9,15,0,0,0,1,0,0,0,1,0,0
"Bryson_2B_9",0,11,1,0,0,0,4,0,0,2,1,0,3,5,0,9,0,12,0,4,0,3,0,0,1,0,0,17,19,0,0,0,0,0,0,0,0,6,4,0,20,0,0,0,0,0,0,0,24,0,0,0,2,7,1,0,0,0,5,22,0,0,3,0,0,0,1,0,2,0
"Burnett_1B_5",0,16,3,0,0,0,2,0,9,5,8,0,1,3,0,9,0,7,0,2,2,0,0,0,4,1,0,8,0,0,0,0,0,0,2,4,0,16,12,0,23,0,0,0,0,0,0,0,18,0,0,0,6,0,0,4,0,0,15,24,0,0,2,2,0,1,0,1,0,0
"Creswell_0B_8",0,15,6,0,4,0,0,0,0,4,1,0,0,4,3,10,0,13,0,3,2,0,2,0,1,3,0,4,3,0,0,3,0,0,0,0,1,0,15,1,14,0,5,0,0,0,0,0,8,1,0,0,14,2,0,0,0,0,4,19,0,0,2,2,0,0,0,4,0,2
"Creswell_2B_10",0,12,4,0,0,0,2,0,4,1,3,0,0,9,0,14,0,18,0,1,0,0,0,0,6,4,0,4,3,0,0,1,0,0,0,0,0,8,13,0,15,0,12,0,0,1,0,0,15,0,0,0,14,0,0,1,0,0,6,22,0,0,7,2,0,0,0,2,0,0
"Gosnell_0B_5B",0,12,5,0,0,0,2,0,1,0,0,0,0,5,0,2,0,2,0,2,0,0,0,0,1,0,0,9,0,0,0,3,0,0,0,0,3,4,5,0,2,0,0,0,0,9,0,0,0,0,0,0,2,3,0,0,0,0,6,8,0,7,0,0,0,0,0,1,0,0
"Honea_Path_0B_1",0,17,2,0,0,0,0,0,4,3,5,0,0,4,0,10,0,19,2,4,0,0,0,0,0,12,1,11,10,0,10,7,0,0,1,0,0,7,5,1,20,0,0,0,0,0,1,0,23,1,1,0,0,0,0,0,0,0,5,16,0,0,0,0,0,0,1,1,0,0
"Honea_Path_3B_1",15,18,0,0,0,0,3,0,15,0,4,0,0,5,0,13,1,15,0,12,0,0,0,0,2,0,0,15,8,0,0,2,0,0,0,0,0,21,20,0,18,0,0,0,0,0,0,0,17,1,0,0,14,1,0,1,0,0,11,17,0,9,0,0,0,0,1,7,0,0
"Honea_Path_3B_3",0,12,2,3,0,0,3,0,3,3,7,0,0,10,0,12,0,16,0,7,0,0,0,0,2,3,0,17,20,0,0,5,0,0,0,0,0,12,18,0,19,0,0,0,0,0,0,0,22,0,2,0,13,1,3,3,0,0,6,17,2,0,4,0,0,0,2,3,0,0
"Hood_Creek_Rd_0B_7",1,6,2,0,0,0,0,0,7,0,0,0,0,3,0,1,0,7,0,2,0,0,0,0,0,0,0,9,0,0,0,2,0,0,0,0,7,0,12,0,5,4,1,0,0,9,0,0,6,0,0,0,9,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0
"Hudson_2B_7",5,20,0,0,0,0,5,0,6,5,3,0,0,4,0,8,0,9,0,0,0,0,0,1,1,2,0,15,10,0,2,1,0,0,0,0,0,16,13,1,16,0,0,0,0,2,0,0,18,2,21,0,1,1,3,0,0,1,9,16,0,3,2,0,4,0,4,7,0,0
"Kemp_0B_10",1,12,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,1,0,11,5,0,0,0,0,0,0,0,0,11,8,4,6,1,0,0,0,0,0,0,11,1,10,0,5,3,0,0,0,0,8,3,0,1,0,0,0,0,1,0,3,0
"Kemp_1B_1",4,17,8,0,4,0,0,0,5,1,0,0,0,5,0,7,0,15,0,6,0,0,1,0,0,4,0,7,1,0,1,7,0,0,0,0,0,10,9,12,17,0,6,0,0,0,0,0,9,1,0,1,7,6,3,0,0,0,5,19,0,1,4,3,0,0,0,6,0,0
"Kemp_2B_5",0,22,3,0,1,0,2,0,14,1,7,0,0,6,0,2,0,10,0,0,0,0,0,0,7,1,0,12,3,0,1,10,0,0,0,0,0,19,7,10,17,1,0,0,0,0,0,0,22,0,12,0,4,1,0,0,0,0,11,19,0,0,0,6,0,0,2,3,0,0
"Kessler_3B_4",1,14,0,0,0,0,0,0,0,5,6,0,0,5,0,0,0,6,1,1,0,0,0,0,0,5,0,12,19,0,0,10,0,0,2,0,0,24,8,0,11,0,0,0,0,1,0,0,19,2,21,0,7,0,0,0,0,0,14,19,0,0,0,0,1,0,3,2,0,0
"Kessler_3B_5B",0,21,1,0,2,4,1,0,2,8,2,0,0,4,0,5,0,12,0,6,0,0,0,0,0,5,0,17,6,0,0,1,0,0,0,0,0,9,16,10,14,0,0,3,0,0,0,0,22,2,4,0,5,2,2,1,0,0,8,13,0,0,3,0,0,0,7,7,0,0
"Mathis_1B_6",0,17,1,0,0,0,0,0,19,4,0,0,0,3,0,9,0,8,0,0,0,0,0,0,4,0,1,23,14,4,3,0,0,2,0,0,0,8,8,4,13,0,0,0,0,0,0,0,10,1,19,0,10,0,0,0,0,0,9,16,0,8,0,0,1,0,24,0,0,3
"Mills_0B_9",9,13,0,0,0,0,0,0,0,1,1,0,0,5,0,5,0,9,0,0,0,0,0,0,0,0,0,2,1,0,0,2,0,0,0,0,4,0,24,0,14,0,0,0,0,3,0,0,12,0,0,0,14,4,0,2,1,0,17,15,0,0,3,0,0,0,0,3,0,0
"Mills_1B_45",23,18,5,0,0,0,0,0,12,0,2,0,0,4,0,11,0,15,0,6,0,0,0,0,1,1,0,14,8,0,0,1,1,0,0,0,9,20,12,0,21,3,0,0,1,1,0,0,10,0,0,0,12,0,0,0,0,0,11,15,0,0,1,0,1,0,0,3,0,0
"Shealy_0B_2",0,23,2,0,4,0,1,0,0,2,1,0,0,7,0,6,0,9,0,6,0,0,0,3,0,2,0,17,0,0,1,0,0,2,0,0,0,0,15,0,22,1,2,0,0,0,0,1,20,0,10,0,4,0,0,0,0,0,0,15,0,1,0,2,0,0,16,5,0,0
"Shealy_0B_4",0,15,2,0,0,0,6,0,2,5,1,2,0,8,0,4,1,16,0,2,0,0,0,0,0,0,0,10,0,0,5,0,0,0,0,0,0,6,6,10,20,0,1,0,0,0,0,0,14,0,1,0,10,6,0,0,0,0,6,14,0,1,0,0,0,0,11,4,1,0
"Shealy_1B_3B",0,20,3,0,0,0,0,0,0,3,2,0,0,2,0,6,0,3,0,5,0,0,0,0,0,3,0,15,2,0,0,0,0,0,0,0,0,21,15,2,20,0,0,0,0,0,0,0,21,1,0,0,4,2,0,0,0,0,19,13,0,0,2,2,13,0,4,7,3,0
"Shealy_1B_E_S",0,20,1,0,0,0,3,0,4,7,5,0,0,3,0,10,1,10,0,12,0,0,0,2,1,0,0,12,0,0,0,0,0,2,1,0,0,6,20,1,13,3,1,0,0,0,0,0,8,1,0,0,7,3,1,3,0,0,12,14,0,2,0,4,7,0,22,4,0,0
"Shealy_2B_3",0,23,7,0,0,0,0,0,4,7,1,0,0,5,0,14,4,6,0,4,0,0,0,0,2,10,0,6,8,0,0,0,0,0,0,0,0,4,16,6,12,2,0,0,0,1,0,0,8,0,0,0,15,6,1,0,0,0,8,18,1,0,0,1,12,0,12,5,2,0
"Suggs_0B_E_S",0,22,5,0,0,0,1,0,4,0,9,0,0,0,0,4,0,13,0,7,0,0,0,12,1,6,0,23,8,0,5,0,0,0,1,0,0,16,15,5,13,0,0,0,0,0,0,0,20,2,9,0,8,0,0,0,0,0,3,12,0,0,0,7,8,0,21,1,1,3
"Swanson_3B_2",0,20,1,0,0,0,0,0,12,3,8,0,0,3,0,4,0,15,0,0,0,0,0,0,1,6,0,15,19,0,0,0,0,0,0,0,0,9,5,7,16,0,0,0,0,0,0,0,17,0,6,0,12,0,0,0,0,0,8,15,0,0,0,5,1,0,24,1,2,6
"Timberhaven_2B_1",0,22,4,0,0,0,0,0,1,3,2,0,4,14,0,11,3,14,0,11,0,0,0,2,0,6,0,6,3,0,15,0,0,1,0,0,0,12,17,13,13,0,0,0,0,2,0,0,11,0,3,0,9,0,0,0,0,1,4,13,0,0,0,0,7,0,22,0,0,0
"Turkey_Rd_2B_6A",0,9,2,0,0,0,4,1,7,1,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,5,0,11,4,0,0,0,0,3,0,0,0,6,11,7,4,0,0,0,0,0,0,0,8,0,12,0,7,0,0,0,0,0,7,1,0,0,0,0,0,0,9,0,0,0
