Site,ACFL,AMCR,AMGO,BAWW,BGGN,BHCO,BHNU,BLJA,BRTH,CACH,CAGO,CAWR,CHSP,CHUCK,COGR,COYE,DOWO,EABL,EAPH,EATO,EAWP,FICR,FISP,GCFL,GRCA,HAWO,HOWA,INBU,MODO,NOBO,NOCA,NOFL,NOMO,NOWA,OVEN,PIWA,PIWO,PRWA,RBWO,REVI,RHWO,RSHA,SUTA,TUTI,WBNU,WEVI,WHIP,WITU,WOTH,YBCH,YBCU,YEWA,YTWA,RWBB,owl,CHSW,RBHU,BHVI,HOFI,NOPA,AMRO,RTHU,BLGR,WTSP,AMRE,BACS,GHOW,BDOW,CEWA
Blease_3B_6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,6,5,2,0,1,0,2,0,0,1,0,5,0,0,0,0,0,0,1,3,2,0,0,0,0,0,0,7,6,0,7,0,0,0,0,7,0,0,4,0,0,0,8,7,0,1,0,1,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,6,7,0,1,0,1,2,3,0,4,0,5,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,7,6,0,7,0,0,0,0,6,0,0,3,3,0,0,2,6,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,4,8,1,0,0,0,0,0,0,2,0,7,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,7,4,0,5,0,0,0,0,8,0,0,1,0,0,1,6,8,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blease_3B_9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,8,0,2,3,0,0,5,0,0,0,6,4,0,0,0,0,4,0,3,8,0,1,0,0,0,0,7,3,0,5,0,0,0,0,4,0,0,3,0,0,0,2,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,4,2,0,0,1,2,1,0,4,0,3,6,0,0,0,0,2,0,8,8,0,0,0,0,0,0,6,7,2,5,0,0,0,0,5,3,1,4,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,6,1,0,0,3,2,3,0,2,0,3,5,0,0,0,1,2,0,6,4,0,0,0,0,0,0,8,3,0,3,0,0,0,0,7,0,0,5,0,0,0,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bryson_2B_9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,4,1,0,0,1,0,5,0,2,0,4,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,4,1,0,5,0,0,0,0,8,0,0,2,3,0,0,4,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,1,0,0,0,0,1,0,0,3,0,2,0,3,0,0,1,0,0,4,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0,8,0,0,0,0,0,0,1,7,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
3,0,6,0,4,0,1,0,0,0,4,0,6,4,0,0,0,0,0,0,6,5,0,0,0,0,0,0,2,3,0,8,0,0,0,0,8,0,0,0,4,1,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burnett_1B_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,6,1,1,4,1,2,1,0,5,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,5,0,8,0,0,0,0,6,0,0,3,0,0,0,8,8,0,0,0,2,0,0,1,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0
2,0,5,1,1,1,2,4,2,0,2,0,3,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,6,1,0,8,0,0,0,0,7,0,0,2,0,0,4,4,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
3,0,5,1,0,4,2,2,0,0,2,0,3,0,0,0,0,0,1,0,3,0,0,0,0,0,2,0,5,6,0,7,0,0,0,0,5,0,0,1,0,0,0,3,8,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Creswell_0B_8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,4,0,0,0,0,0,0,3,6,0,0,1,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,5,1,1,0,3,0,0,4,1,0,5,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
2,0,4,1,0,0,0,1,2,0,0,0,8,2,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,5,0,7,0,0,0,0,0,0,0,4,0,0,0,0,6,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,7,5,0,0,4,0,2,0,4,0,5,0,0,0,0,0,3,0,0,2,0,0,2,0,0,1,0,5,0,6,0,2,0,0,4,0,0,5,2,0,0,4,6,0,0,0,0,0,0,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Creswell_2B_10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,1,2,0,0,0,1,6,0,8,0,5,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,4,3,0,7,0,6,0,1,7,0,0,6,0,0,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,7,0,2,4,0,0,2,0,1,0,8,1,0,0,0,3,2,0,0,0,0,0,0,0,0,0,4,4,0,4,0,2,0,0,4,0,0,3,0,0,0,0,7,0,0,3,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,4,2,0,0,1,2,1,0,5,0,5,0,0,0,0,2,2,0,3,2,0,0,1,0,0,0,0,6,0,4,0,4,0,0,4,0,0,5,0,0,0,5,8,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hudson_2B_7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,8,0,4,3,0,2,1,0,0,0,6,0,0,0,0,0,1,0,4,3,0,2,0,0,0,0,7,7,0,2,0,0,0,1,4,1,6,0,1,0,0,1,5,0,1,2,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,5,0,0,2,2,1,3,0,8,0,0,0,0,0,0,1,0,0,5,5,0,0,0,0,0,0,3,2,1,7,0,0,0,0,8,1,7,1,0,3,0,3,6,0,2,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,7,0,1,1,3,0,0,0,0,0,3,0,0,0,1,0,1,0,6,2,0,0,1,0,0,0,6,4,0,7,0,0,0,1,6,0,8,0,0,0,0,5,5,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kemp_1B_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,2,5,0,0,1,0,3,0,0,0,6,0,0,1,0,0,3,0,4,0,0,1,0,0,0,0,4,4,4,7,0,2,0,0,4,0,0,0,4,0,0,5,8,0,0,2,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,2,8,0,0,0,0,0,1,0,4,0,5,4,0,0,0,0,1,0,1,0,0,0,5,0,0,0,2,3,4,5,0,0,0,0,2,1,0,4,2,0,0,0,6,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2,7,3,0,5,0,0,1,0,3,0,4,2,0,0,0,0,0,0,2,1,0,0,2,0,0,0,4,2,4,5,0,4,0,0,3,0,0,3,0,3,0,0,5,0,1,2,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
Kemp_2B_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,6,1,0,3,0,3,3,0,0,0,4,0,0,0,0,1,0,0,6,1,0,0,4,0,0,0,7,0,4,3,0,0,0,0,6,0,6,1,0,0,0,3,4,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,8,1,0,4,1,2,2,0,1,0,3,0,0,0,0,3,1,0,1,0,0,1,1,0,0,0,7,1,2,8,0,0,0,0,8,0,4,0,0,0,0,3,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3,0,8,1,2,7,0,2,1,0,1,0,3,0,0,0,0,3,0,0,5,2,0,0,5,0,0,0,5,6,4,6,1,0,0,0,8,0,2,3,1,0,0,5,8,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kessler_3B_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,4,0,0,0,1,5,1,0,0,0,4,0,0,0,0,0,5,0,6,4,0,0,4,0,0,0,8,1,0,4,0,0,0,1,4,0,6,3,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,4,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,2,7,0,0,2,0,2,0,8,3,0,3,0,0,0,0,7,0,7,3,0,0,0,7,6,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,6,0,0,0,3,1,3,0,0,0,2,0,0,0,0,0,0,0,4,8,0,0,4,0,0,0,8,4,0,4,0,0,0,0,8,2,8,1,0,0,0,7,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Kessler_3B_5B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,7,0,0,2,3,0,0,0,4,0,4,1,0,0,0,0,1,0,7,2,0,0,0,0,0,0,2,6,4,5,0,0,0,0,7,0,1,4,2,2,1,4,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
2,0,8,0,0,0,2,1,4,0,1,0,3,4,0,0,0,0,0,0,4,4,0,0,1,0,0,0,4,6,4,3,0,0,0,0,7,0,3,0,0,0,0,3,4,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0
3,0,6,1,1,0,3,1,0,0,0,0,5,1,0,0,0,0,4,0,6,0,0,0,0,0,0,0,3,4,2,6,0,0,0,0,8,2,0,1,0,0,0,1,4,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mathis_1B_6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,5,0,0,8,1,0,2,0,5,0,2,0,0,0,0,0,0,0,8,5,0,0,0,1,0,0,5,0,1,3,0,0,0,0,4,0,8,3,0,0,0,4,2,0,2,0,0,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,6,0,0,7,1,0,1,0,4,0,4,0,0,0,0,4,0,0,8,6,4,0,0,0,0,0,1,2,3,4,0,0,0,0,4,1,8,4,0,0,0,2,8,0,3,0,0,1,8,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,6,1,0,4,2,0,0,0,0,0,2,0,0,0,0,0,0,1,7,3,0,3,0,1,0,0,2,6,0,6,0,0,0,0,2,0,3,3,0,0,0,3,6,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mills_0B_9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,6,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,8,0,4,0,0,0,0,5,0,0,7,0,0,0,8,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,5,4,0,0,0,1,0,3,0,2,0,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,4,0,8,0,5,0,0,0,0,4,0,0,4,0,0,2,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3,4,3,0,0,0,0,1,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,5,0,0,0,3,3,0,0,3,4,0,0,3,7,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mills_1B_45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,8,6,0,0,3,0,2,1,0,6,0,8,0,0,0,0,0,0,0,4,5,0,0,0,0,0,1,8,7,0,6,0,0,1,0,3,0,0,4,0,0,0,1,4,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,8,6,1,0,6,0,0,0,0,4,0,4,3,0,0,0,1,0,0,7,3,0,0,0,0,0,3,8,5,0,8,3,0,0,1,2,0,0,5,0,0,0,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,7,6,4,0,3,0,0,3,0,1,0,3,3,0,0,0,0,1,0,3,0,0,0,1,0,0,5,4,0,0,7,0,0,0,0,5,0,0,3,0,0,0,4,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shealy_0B_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,8,1,1,0,2,0,2,0,3,0,3,2,0,0,3,0,2,0,5,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,7,0,2,0,0,0,0,0,7,0,0,0,2,0,7,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,8,0,0,0,0,0,4,0,0,0,4,2,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,6,0,8,0,2,0,0,6,0,4,0,0,0,0,0,6,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,7,1,0,0,0,1,1,0,3,0,2,2,0,0,0,0,0,0,5,0,0,1,0,2,0,0,0,2,0,7,1,0,0,0,7,0,4,4,0,0,0,0,2,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
Shealy_0B_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,6,2,1,1,0,0,1,0,0,1,7,1,0,0,0,0,0,0,4,0,0,2,0,0,0,0,2,1,0,6,0,0,0,0,4,0,0,2,1,0,0,0,4,0,1,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2,0,8,0,3,1,2,1,5,0,2,0,2,1,0,0,0,0,0,0,4,0,0,2,0,0,0,0,3,2,6,7,0,1,0,0,4,0,0,4,4,0,0,4,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
